field_id,related_table_name,related_field_name,field_name_alias,type,max_char_length,is_required,description,is_linked_to_list,linked_table_name,linked_field_name
1,sla-file-records,language_code,Language Code,Single choice,,TRUE,"This will link directly to the ""code_id"" options in the ""language-codes"" table so that it only displays the option in A-Z alphabetical order for a user to select",TRUE,language-codes,code_id
2,sla-file-records,template_type,Template Type,Single choice,,TRUE,,,,
3,sla-file-records,line_of_business,Line of Business,Single choice,,FALSE,,,,
4,sla-file-records,state,State,Single choice,,TRUE,,,,
5,sla-file-records,comment,Comment,Single choice,,FALSE,,,,
6,sla-file-records,project_number,Project Number,Fixed-length text,255,FALSE,,,,
7,sla-file-records,file_name,File Name,Fixed-length text,512,TRUE,,,,
8,sla-file-records,received_at_est,Received at EST,Timestamp,,FALSE,,,,
9,sla-file-records,delivered_at_est,Delivered at EST,Timestamp,,FALSE,,,,
10,sla-file-records,sla_met,SLA Met?,Single choice,,FALSE,,,,
11,sla-file-records,is_urgent,Is Urgent?,Boolean,,FALSE,,,,
12,sla-file-records,qa_delivery_by,QA Delivery By,Single choice,,FALSE,"This will link directly to the ""Abbreviation"" options in the ""sla-users"" table so that it only displays the ""Analyst"" and ""Manager"" user Abbreviations",TRUE,sla-users,abbreviation
13,sla-file-records,status_hours,Status Hours,Decimal,,FALSE,,,,
14,sla-file-records,status_label,Status Label,Fixed-length text,255,FALSE,,,,
15,sla-file-records,internal,Internal,Fixed-length text,255,FALSE,,,,
16,sla-file-records,dtp_1,DTP_1,Decimal,,FALSE,,,,
17,sla-file-records,new,New,Whole number,,FALSE,,,,
18,sla-file-records,fuzzy,Fuzzy,Whole number,,FALSE,,,,
19,sla-file-records,total,Total,Whole number,,FALSE,,,,
20,sla-file-records,dtp_2,DTP_2,Decimal,,FALSE,,,,
21,sla-file-records,pm,PM,Decimal,,FALSE,,,,
22,sla-file-records,it_eng,IT Eng,Decimal,,FALSE,,,,
23,sla-file-records,qa,QA,Decimal,,FALSE,,,,
24,sla-file-records,record_id,Record ID,Fixed-length text,255,FALSE,,,,
25,sla-file-records,assigned_analyst_id,Assigned Analyst ID,Fixed-length text,255,FALSE,,,,
26,sla-file-records,received_at_utc,Received at UTC,TimestampZ,,FALSE,,,,
27,sla-file-records,delivered_at_utc,Delivered at UTC,TimestampZ,,FALSE,,,,
28,sla-file-records,egnyte_direct_link,Egnyte Direct Link,URL,,FALSE,,,,
29,sla-file-records,egnyte_file_path,Egnyte File Path,Fixed-length text,255,FALSE,,,,
30,sla-file-records,egnyte_file_size_kb,Egnyte File Size KB,Whole number,,FALSE,,,,
