project_number,file_name,line_of_business,state,received_at_est,delivered_at_est,sla_met,is_urgent,qa_delivery_by,comment,status_hours,status_label,internal,dtp_1,new,fuzzy,total,dtp_2,pm,it_eng,qa,record_id,assigned_analyst_id,template_type,language_code,received_at_utc,delivered_at_utc,egnyte_direct_link,egnyte_file_path,egnyte_file_size_kb,created_by,updated_by,created_at,updated_at
MOHE-260701-5634,SWHNY Approval Notice Preservice_Member_331f495b-2997-4a6a-ac11-1c0fa6eed7bd_ko,NY Molina SWH – WORD,NY,2026-07-01 9:00:00,2026-07-01 15:15:00,Y,NO,,,6.25,6.25 Consecutive Hours,,1.51,223,0,7392,0.53,0.35,0.63,0,8f3a7c21-5d94-4e68-a1b7-2c9f6d84e531,1,Word,KO,2026-07-01T13:00:00Z,2026-07-01T19:15:00Z,https://auratrans.egnyte.com/navigate/file/1da803b8-d4de-4c8d-b32e-886f7b9b3ccd,/Shared/Documents/Molina Healthcare/Molina_SWH_Letters/Inbound/PROD/Archive/SWHNY Approval Notice Preservice_Member_331f495b-2997-4a6a-ac11-1c0fa6eed7bd_ko.docx,79,2,1,2026-08-13T13:11:00Z,2026-08-13T13:11:00Z
MOHE-260701-5634,SWHNY IAD Partial Denial Notice_Member_48a8b977-5077-4aa3-a821-fed113a3b3ee_ko,NY Molina SWH – WORD,NY,2026-07-01 9:00:00,2026-07-01 17:15:00,Y,NO,,,8.25,8.25 Consecutive Hours,,,,,,0,0,0,0,b72e4a19-c583-46f0-9d21-7a6b3e8c5f04,1,Word,KO,2026-07-01T13:00:00Z,2026-07-01T21:15:00Z,https://auratrans.egnyte.com/navigate/file/a210ccb4-6765-4454-8fff-0e14acb7497f,/Shared/Documents/Molina Healthcare/Molina_SWH_Letters/In_progress/Original/Korean/Word/0_Previous/07.01.KO.AM/Studio/en-US/SWHNY IAD Partial Denial Notice_Member_48a8b977-5077-4aa3-a821-fed113a3b3ee_ko.docx,106,2,1,2026-08-13T13:11:00Z,2026-08-13T13:11:00Z
MOHE-260701-5634,MHNY Master Approval_Member_1dad1f9e-fa2a-4e0c-8964-bcb26a73a103_ko,NY Molina SWH – WORD,NY,2026-07-01 10:00:00,2026-07-01 15:15:00,Y,NO,,,5.26,5.26 Consecutive Hours,,,,,,0,0,0,0,d4c89127-3e56-4b0a-bf93-1c7d2e85a649,1,Word,KO,2026-07-01T14:00:00Z,2026-07-01T19:15:00Z,,,,2,1,2026-08-13T13:11:00Z,2026-08-13T13:11:00Z
MOHE-260701-5634,SWHNY IAD Partial Denial Notice_Member_f5424b93-3084-4fc5-b922-0b63fd404d7f_ko,NY Molina SWH – WORD,NY,2026-07-01 11:01:00,2026-07-01 17:15:00,Y,NO,,,6.24,6.24 Consecutive Hours,,,,,,0,0,0,0,6a5f2b83-914c-47de-8a36-e2b7590d4c18,2,Word,KO,2026-07-01T15:01:00Z,2026-07-01T21:15:00Z,,,,2,1,2026-08-13T13:11:00Z,2026-08-13T13:11:00Z
MOHE-260701-5634,SWHNY Approval Notice Preservice_Member_0eb4f09f-9167-47a0-a839-8b62b1a275bf_ko,NY Molina SWH – WORD,NY,2026-07-01 11:01:00,2026-07-01 15:15:00,Y,NO,,,4.24,4.24 Consecutive Hours,,,,,,0,0,0,0,c91e6f42-7b35-4da8-a0c9-5e183f726b94,2,Word,KO,2026-07-01T15:01:00Z,2026-07-01T19:15:00Z,,,,2,1,2026-08-13T13:11:00Z,2026-08-13T13:11:00Z
MOHE-260701-5650,MHNY Essential Master Approval_Member_30ad002f-e839-422f-bb2d-0d574842e533_ko,NY Molina SWH – WORD,NY,2026-07-01 14:00:00,2026-07-01 14:19:00,Y,YES,,,0.3,0.30 Business Hours,,0.27,0,0,,0.09,0.06,0.11,0,3e7a1c56-d842-49bf-96a3-7c251e8d4f09,2,Word,KO,2026-07-01T18:00:00Z,2026-07-01T18:19:00Z,,,,2,1,2026-08-13T13:11:00Z,2026-08-13T13:11:00Z
MOHE-260701-5651,SWHNY Approval Notice Preservice_Member_70776365-2a13-4906-8762-8f445d7a333d_ko,NY Molina SWH – WORD,NY,2026-07-01 14:00:00,2026-07-01 21:24:00,Y,NO,,,7.4,7.40 Consecutive Hours,,1.43,62,67,4681,0.5,0.33,0.6,0,a58d3f71-2c94-46e8-b1a5-9d637f20c481,2,Word,KO,2026-07-01T18:00:00Z,2026-07-02T01:24:00Z,,,,2,1,2026-08-13T13:11:00Z,2026-08-13T13:11:00Z
MOHE-260813-5701,SWHNY Approval Notice Preservice_Member_inreview_analyst1_ht,NY Molina SWH – WORD,NY,2026-08-12 9:15:00,,,NO,,,,,,,,,,0,0,0,0,e1b2c3d4-5f67-4890-ab12-cd34ef56a701,1,Word,HT,2026-08-12T13:15:00Z,,,,,2,1,2026-08-13T13:11:00Z,2026-08-13T13:11:00Z
MOHE-260813-5702,SWHNY IAD Partial Denial Notice_Member_inreview_analyst2_bn,NY Molina SWH – PDF,NY,2026-08-12 10:40:00,,,YES,,,,,,,,,,0,0,0,0,e1b2c3d4-5f67-4890-ab12-cd34ef56a702,5,PDF,BN,2026-08-12T14:40:00Z,,,,,2,5,2026-08-13T13:11:00Z,2026-08-13T13:11:00Z
MOHE-260813-5703,MHNY Master Approval_Member_onhold_analyst1_chs,NY Molina SWH – WORD,NY,2026-08-11 8:00:00,,,NO,,Internal Unexpected Delay,,,,,,,,0,0,0,0,e1b2c3d4-5f67-4890-ab12-cd34ef56a703,1,Word,CHS,2026-08-11T12:00:00Z,,,,,2,1,2026-08-13T13:11:00Z,2026-08-13T13:11:00Z
